Date,Open,High,Low,Close,Adj Close,Volume
2018-12-26,65.400002,67.790001,64.510002,67.720001,65.649887,6584700
2018-12-27,67.160004,68.389999,65.739998,68.360001,66.270317,6873300
2018-12-28,68.559998,69.080002,67.589996,68.050003,65.969803,5181800
2018-12-31,68.540001,68.720001,67.739998,68.330002,66.241249,4870900
2019-01-02,67.199997,68.459999,66.690002,68.040001,65.960114,5528100
2019-01-03,67.800003,68.089996,66.720001,67.330002,65.271805,5853200
2019-01-04,68.430000,70.139999,68.000000,69.570000,67.443344,6868600
2019-01-07,69.150002,70.540001,68.820000,69.970001,67.831108,6192500
2019-01-08,70.519997,71.669998,70.139999,71.370003,69.188316,6548100
2019-01-09,71.820000,72.650002,71.529999,72.230003,70.022034,6318000
2019-01-10,72.029999,72.750000,71.250000,72.480003,70.264389,5130500
2019-01-11,72.599998,72.620003,71.129997,71.709999,69.517921,5684700
2019-01-14,71.400002,71.500000,70.349998,70.650002,68.490318,5997700
2019-01-15,70.970001,71.980003,70.800003,71.790001,69.595474,4260000
2019-01-16,72.010002,72.589996,71.839996,72.000000,69.799049,3785200
2019-01-17,71.339996,72.269997,71.290001,71.989998,69.789352,3625500
2019-01-18,72.419998,72.879997,71.959999,72.430000,70.215904,5539900
2019-01-22,72.120003,72.320000,71.099998,71.589996,69.401581,5578200
2019-01-23,72.099998,72.400002,71.010002,71.709999,69.517921,4187700
2019-01-24,71.730003,71.800003,70.860001,71.320000,69.139832,4153200
2019-01-25,71.910004,72.419998,71.580002,71.889999,69.692413,5221800
2019-01-28,71.370003,71.669998,70.470001,71.580002,69.391899,4088300
2019-01-29,71.550003,71.800003,70.879997,71.500000,69.314346,3367100
2019-01-30,71.410004,72.029999,71.180000,71.610001,69.420975,4122100
2019-01-31,71.500000,72.589996,71.500000,72.260002,70.051102,8390800
2019-02-01,72.379997,72.550003,71.529999,71.879997,69.682716,4642500
2019-02-04,71.830002,71.879997,70.900002,71.459999,69.275566,5444300
2019-02-05,71.379997,71.730003,70.830002,71.309998,69.130142,7128600
2019-02-06,71.000000,71.709999,70.879997,71.470001,69.285255,4336400
2019-02-07,71.150002,71.370003,70.379997,71.199997,69.023506,4631200
2019-02-08,70.800003,70.900002,69.529999,70.120003,67.976524,4139400
2019-02-11,70.250000,70.540001,70.029999,70.470001,68.315826,3482300
2019-02-12,71.160004,71.980003,70.699997,71.559998,69.372505,3980000
2019-02-13,71.849998,72.709999,71.750000,72.430000,70.215904,3856900
2019-02-14,71.680000,72.449997,71.290001,72.110001,70.332954,3855100
2019-02-15,72.910004,73.830002,72.660004,73.430000,71.620430,4670400
2019-02-19,73.489998,74.940002,73.400002,74.430000,72.595779,6374600
